name,gnd
Abelzhauser Benedikt,http://d-nb.info/gnd/129728527
Agricola Magnus,http://d-nb.info/gnd/118064851
Aicher Otto,http://d-nb.info/gnd/124578225
Aichler/Aicheler David,http://d-nb.info/gnd/115593772
Aigner Honorius,http://d-nb.info/gnd/100981771
Aindorffer/Ayndorffer Kaspar,http://d-nb.info/gnd/133251608
Alexandre Nicolas,http://d-nb.info/gnd/100007902
Alviset Virginius,http://d-nb.info/gnd/129554006
Ambling Anselm,http://d-nb.info/gnd/128755849
Amort Eusebius,http://d-nb.info/gnd/118648861
Anfang Anton,http://d-nb.info/gnd/121812014
Angehrn Beda,http://d-nb.info/gnd/135718430
Argáiz Gregorio,http://d-nb.info/gnd/100015026
Ariz Luis,http://d-nb.info/gnd/101886969
Armellini Mariano,http://d-nb.info/gnd/137934793 /  http://d-nb.info/gnd/10001612X / http://d-nb.info/gnd/160552079
Arnpeck Veit,http://d-nb.info/gnd/118645943 / http://d-nb.info/gnd/118645943
Ascha Maurus de,http://d-nb.info/gnd/142719935
Auceps Chrysogonus,http://d-nb.info/gnd/116859687
"Audomaro Petrus de Sancto / Wallon Cappelle, Pierre de",http://d-nb.info/gnd/118593366 /   http://d-nb.info/gnd/1089624107 / http://d-nb.info/gnd/17698920X
Ayrinschmalz Konrad,http://d-nb.info/gnd/133251837
Babenstuber Ludwig,http://d-nb.info/gnd/122883268 / http://d-nb.info/gnd/187128197
Bacchini Benedetto,http://d-nb.info/gnd/104119691
Baillie Bernard,http://d-nb.info/gnd/116040424
Baker Augustine,http://d-nb.info/gnd/118197916 /   http://d-nb.info/gnd/188335137
Baluze Ètienne,http://d-nb.info/gnd/11944237X / http://d-nb.info/gnd/157567087
Banduri Anselmo Maria,http://d-nb.info/gnd/123937604
Barbo Ludovico,http://d-nb.info/gnd/18712972X / http://d-nb.info/gnd/119411180
Baron Maurus,http://d-nb.info/gnd/1071364588
Bartenstein Johann Christoph,http://d-nb.info/gnd/118657372 / http://d-nb.info/gnd/17307961X / http://d-nb.info/gnd/129929719
Basse Heinrich,http://d-nb.info/gnd/119614294
Bastide Philippe,http://d-nb.info/gnd/130220434
Batt Anthony,http://d-nb.info/gnd/159731224 / http://d-nb.info/gnd/100771564
Bauer Magnus,http://d-nb.info/gnd/118064843
Baumbach Hyazinth,http://d-nb.info/gnd/123371554
Baumgartner Albert,http://d-nb.info/gnd/1033965022
Beaugendre Antoine,http://d-nb.info/gnd/1055494014 /   http://d-nb.info/gnd/100753183
Beccaria Giovanni,http://d-nb.info/gnd/124800270 / http://d-nb.info/gnd/1087818443
Behamstein Benedikt,http://d-nb.info/gnd/122479351
Behm Gottfried,http://d-nb.info/gnd/129577790 / http://d-nb.info/gnd/10004588X /   http://d-nb.info/gnd/1089399871
Belin Albert,http://d-nb.info/gnd/124701221
Bénard Laurent,http://d-nb.info/gnd/13949328X /   http://d-nb.info/gnd/18031632X
Bendandi Girolamo,http://d-nb.info/gnd/1023005018 / http://d-nb.info/gnd/100032680
Bender Blasius,http://d-nb.info/gnd/1012176347
Berardi Johannes,http://d-nb.info/gnd/100948472
Bernardus Lucas,http://d-nb.info/gnd/119618761 / http://d-nb.info/gnd/1089794207 / http://d-nb.info/gnd/102429812
Bertels Johannes,http://d-nb.info/gnd/10003781X / http://d-nb.info/gnd/123705525
Besange Hieronymus,http://d-nb.info/gnd/131511017 / http://d-nb.info/gnd/179027964
Bessel Gottfried,http://d-nb.info/gnd/118662562
Bessin Guillaume,http://d-nb.info/gnd/1055379169 / http://d-nb.info/gnd/100038352
Betschart Ignaz,http://d-nb.info/gnd/1053320434
Betschart Paul,http://d-nb.info/gnd/100038700 /   http://d-nb.info/gnd/1089632193
Biechler Aemilian,http://d-nb.info/gnd/100041930
Biel Gabriel,http://d-nb.info/gnd/118510703 / http://d-nb.info/gnd/174850794
Bimmel Johannes VIII.,http://d-nb.info/gnd/156463229
Biondo Flavio,http://d-nb.info/gnd/118658867
Birchington Stephen,http://d-nb.info/gnd/1089523858 / http://d-nb.info/gnd/100961215
Bisling Anselm,http://d-nb.info/gnd/11538085X / http://d-nb.info/gnd/187130582
Blampin Thomas,http://d-nb.info/gnd/14047269X / http://d-nb.info/gnd/183766377
Böckhn Placidus,http://d-nb.info/gnd/100045642 / http://d-nb.info/gnd/187076049
Bodemann Eduard,http://d-nb.info/gnd/116215631 / http://d-nb.info/gnd/174874901
Bodo Heinrich,http://d-nb.info/gnd/10427526X
Bolland Jean,http://d-nb.info/gnd/129204668
Boner Michael,http://d-nb.info/gnd/11962592X
Borghini Vincenzo Maria,http://d-nb.info/gnd/119242575 / http://d-nb.info/gnd/187220271
Bottbachius Paul,http://d-nb.info/gnd/123690684 / http://d-nb.info/gnd/172745721
Breitenwieser Matthias,http://d-nb.info/gnd/133456331
Brendlin Augustin,http://d-nb.info/gnd/1089677235 / http://d-nb.info/gnd/1053389310 / http://d-nb.info/gnd/102935246
Bressler und Aschenburg Ferdinand Ludwig von,http://d-nb.info/gnd/11649218X
Bretagne Claude,http://d-nb.info/gnd/100431879
Bridler Placidus,http://d-nb.info/gnd/135584086 /   http://d-nb.info/gnd/151712468
Briz Martínez Juan,http://d-nb.info/gnd/137315333
Bucelin Gabriel,http://d-nb.info/gnd/118516493
Buchels Johann,http://d-nb.info/gnd/135655706
Buchner Nikolaus,http://d-nb.info/gnd/119632292 /   http://d-nb.info/gnd/119615290
Buder Christian Gottlieb,http://d-nb.info/gnd/100061362 / http://d-nb.info/gnd/186330340
Bugnot Louis Gabriel,http://d-nb.info/gnd/1028098553
Bulteau Louis,http://d-nb.info/gnd/100063403 / http://d-nb.info/gnd/18297295X
Bundi Jakob ,http://d-nb.info/gnd/107013466X
Buttlar Konstantin von,http://d-nb.info/gnd/118977717
Caché Beda,http://d-nb.info/gnd/100437656 / http://d-nb.info/gnd/1089653697
Caffarelli Simplicio,http://d-nb.info/gnd/1089637853
Cajetan Constantin,http://d-nb.info/gnd/129207071
Calaber Chrysostomus,http://d-nb.info/gnd/100741274
Calmet Augustin,http://d-nb.info/gnd/118666665
Calogiera Angelo,http://d-nb.info/gnd/11643242X / http://d-nb.info/gnd/10063172X
Calzolaio Lorenzo,http://d-nb.info/gnd/121952789
Canofilo Benedetto,http://d-nb.info/gnd/10313123X
Cantone Serafino,http://d-nb.info/gnd/1089773242 / http://d-nb.info/gnd/10387593X
